timestamp,FA,F1,F2,F3,F4,F5,F6,F7,F8,CA,C1,C2,C3,C4,C5,C6,C7,C8,PA,P1,P2,P3,P4,P5,P6,P7,P8,Radio-Flux-10.7cm,SESC-Sunspot-Number,Sunspot-Area-10E-6-Hemis.,New-Regions,Stanfor-Solar-Mean-Field,GOES15-X-Ray-Bkgd-Flux,X-Ray-C,X-Ray-M,X-Ray-X,X-Ray-S,Optical-1,Optical-2,Optical-3
2008-01-01,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.0,11.0,30.0,0.0,-999.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-01-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,13.0,30.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,13.0,20.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,79.0,26.0,30.0,1.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-05,13.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,29.0,1.0,2.0,3.0,5.0,6.0,5.0,3.0,3.0,18.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,80.0,12.0,20.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-06,12.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,21.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,13.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,79.0,12.0,20.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07,10.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,23.0,3.0,3.0,3.0,6.0,5.0,1.0,0.0,2.0,12.0,4.0,4.0,2.0,3.0,3.0,0.0,1.0,2.0,78.0,14.0,20.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08,11.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,16.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,13.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,76.0,16.0,20.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-09,6.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,9.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,77.0,0.0,0.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,76.0,0.0,0.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
